user_id,name,email,linkedin_url,github_url
1,김민준,minjun_kim@gmail.com,https://www.linkedin.com/in/minjun-kim-483920174/,https://github.com/minjunkim
2,이서연,seoyeon_lee@naver.com,https://www.linkedin.com/in/seoyeonlee/,https://github.com/seoyeonlee34
3,박도윤,doyoon2025@daum.net,https://www.linkedin.com/in/doyoon-park-510384296/,
4,최지우,jiwoo_choi@gmail.com,https://www.linkedin.com/in/jiwoochoi/,https://github.com/jiwoochoi
5,정하은,haeun_jeong@naver.com,https://www.linkedin.com/in/haeun-jeong-639201847/,https://github.com/haeunjeong
6,강시우,siwoo12@daum.net,https://www.linkedin.com/in/siwoo12/,https://github.com/siwoo12
7,조서아,seoa_jo@gmail.com,https://www.linkedin.com/in/seoa-jo-194758302/,
8,윤예준,yejun_yoon@naver.com,https://www.linkedin.com/in/yejun-yoon-560918374/,https://github.com/yejunyoon
9,장유나,yuna_jang@daum.net,https://www.linkedin.com/in/yuna-jang-302749185/,
10,임지호,jiho_im10@gmail.com,https://www.linkedin.com/in/jihoim/,https://github.com/jihoim
11,김하윤,hayoon_kim@naver.com,https://www.linkedin.com/in/hayoon-kim-675203918/,
12,이은우,eunwoo_lee33@daum.net,https://www.linkedin.com/in/eunwoo33/,https://github.com/eunwoo33
13,박서준,seojun_park@gmail.com,https://www.linkedin.com/in/seojun-park-294857160/,https://github.com/seojunpark
14,최아린,arin_choi@naver.com,https://www.linkedin.com/in/arinchoi/,https://github.com/arinchoi
15,정수아,sua_jeong@daum.net,https://www.linkedin.com/in/sua-jeong-681045392/,
16,강지안,jiankang@gmail.com,https://www.linkedin.com/in/jiankang/,https://github.com/jiankang
17,조하준,hajun_jo2@naver.com,https://www.linkedin.com/in/hajun-jo-894210375/,
18,윤다은,daeun_yoon@daum.net,https://www.linkedin.com/in/daeun-yoon-340918572/,https://github.com/daeunyoon13
19,장선우,sunwoo_jang19@gmail.com,https://www.linkedin.com/in/sunwoojang19/,https://github.com/sunwoojang19
20,임채원,chaewon_im@naver.com,https://www.linkedin.com/in/chaewon-im-210948375/,
21,오유진,yujin_oh@gmail.com,https://www.linkedin.com/in/yujin-oh-750370232/,https://github.com/yujinoh
22,한지민,jimin_han@naver.com,https://www.linkedin.com/in/jiminhan/,https://github.com/jiminhan57
23,백승우,seungwoo_baek@daum.net,https://www.linkedin.com/in/seungwoo-baek-483920715/,
24,문서연,seoyeon_moon@gmail.com,https://www.linkedin.com/in/seoyeonmoon/,https://github.com/seoyeonmoon
25,신현우,hyunwoo_shin@naver.com,https://www.linkedin.com/in/hyunwoo-shin-918374562/,

